movieId,title,genres
196224,Iron Man
196225,The Incredible Hulk
196226,Iron Man 2
196227,Thor
196228,Captain America: The First Avenger
196229,The Avengers
196230,Iron Man 3
196231,Thor: The Dark World
196232,Captain America: The Winter Soldier
196233,Guardians of the Galaxy
196234,Avengers: Age of Ultron
196235,Ant-Man
196236,Captain America: Civil War
196237,Doctor Strange
196238,Guardians of the Galaxy Vol. 2
196239,Spider-Man: Homecoming
196240,Thor: Ragnarok
196241,Black Panther
196242,Avengers: Infinity War
196243,Ant-Man and the Wasp
196244,Captain Marvel
196245,Avengers: Endgame
196246,Spider-Man: Far From Home
196247,Black Widow
196248,Shang-Chi and the Legend of the Ten Rings
196249,Eternals
196250,Spider-Man: No Way Home
196251,Doctor Strange in the Multiverse of Madness
196252,Thor: Love and Thunder
196253,Black Panther: Wakanda Forever
196254,Ant-Man and the Wasp: Quantumania
196255,Guardians of the Galazy Vol. 3
196256,The Marvels
196257,Deadpool & Wolverine
